单品编码,样本数量,平均销量,最大销量,最小销量,方差
102900005115861,7988,0.4786725087631447,7.016,0.039,0.05533283902377929
102900005116257,26444,0.4953653002571472,12.5,0.107,0.054677229255361136
102900005118572,1242,0.47652737520128824,1.899,0.05,0.05300929215893882
102900011016909,193,0.525279792746114,1.628,0.151,0.051016317141623475
102900005115748,1305,0.5507095785440613,1.744,0.159,0.04899954365818108
102900005115823,16415,0.45723301858056653,8.998,0.04,0.048683642725961186
102900011006955,48,0.3403541666666667,1.23,0.122,0.047320531471631205
102900011008485,96,0.48647916666666663,1.191,0.115,0.046484441666666695
102900011033975,510,0.3610313725490196,4.95,0.168,0.04599787327709084
102900011028407,121,0.2802231404958678,1.812,0.025,0.044499491460055086
102900011000632,24,0.552125,0.935,0.188,0.04321463586956521
102900005116714,56448,0.46849431335034014,12.487,0.022,0.04272198228735935
102900005115908,9938,0.4373343731133025,8.504,0.088,0.04167648323217732
102900011008164,13259,0.4357072931593634,8.672,0.025,0.04146527598466981
102900005115816,42,0.4387619047619048,1.203,0.213,0.041356332171893155
102900011016701,68608,0.4036203066697761,10.0,0.017,0.04121979639087452
102900005116530,43152,0.25323676770485726,25.0,0.015,0.04032788264337709
102900005115168,2087,0.43116291327264017,1.391,0.059,0.039776195881825134
102900011023464,7894,0.4137534836584748,5.789,0.051,0.03830463072079055
102900051009220,100,0.40726,1.494,0.184,0.03672290141414142
102900011022924,61,0.49631147540983606,1.007,0.201,0.0366315513661202
102900005117056,24805,0.3826318484176578,7.004,0.033,0.03619756442669534
106949711300068,2534,1.0051302288871349,10.0,1.0,0.03589945006887777
102900005115779,38192,0.3987111436950147,6.003,0.05,0.03576901540512839
102900051000944,1989,0.3626867772750126,5.0,0.081,0.03505968705344184
102900005116806,240,0.42135416666666664,1.237,0.158,0.03478468994072525
102900011027462,41,0.4104634146341464,0.902,0.12,0.034446004878048775
102900005115625,306,0.39549019607843133,1.364,0.126,0.033706152362584375
102900011033920,3116,0.5619595635430039,3.553,0.05,0.03353318488122199
102900005115854,820,0.5064939024390244,1.709,0.168,0.03334473134250575
102900005116226,3533,0.33446900651004813,1.504,0.036,0.033145369721464604
102900011009970,14637,0.5483039557286329,6.496,0.084,0.03165304254584324
102900005115793,3925,0.43084025477707005,1.72,0.078,0.03003796453612256
102900011022764,5901,0.4231553973902728,1.873,0.05,0.030023995000100563
102900011008492,2,0.623,0.745,0.501,0.029768
102900005116837,6788,0.3693024454920448,2.124,0.05,0.02901305231757848
102900011000328,22399,0.34383941247377114,2.137,0.02,0.028879418401940707
102900005115878,9974,0.4063697613795869,5.03,0.013,0.02879357368094171
102900005115984,22557,0.44352156758434186,2.917,0.067,0.028768786786547634
102900011000335,14,0.547,0.822,0.219,0.028707538461538458
102900005118817,14146,0.3675704792874311,8.0,0.06,0.028501073187143792
102900005115885,2420,0.38091033057851237,1.859,0.147,0.028290104812623323
102900005115786,15956,0.44811155678114817,7.93,0.078,0.02826253622243379
102900005116233,12599,0.27376529883324074,1.911,0.025,0.027687316001639137
102900011033173,41,0.22682926829268293,0.689,0.056,0.025873945121951226
102900011006689,4146,0.37111890979257117,1.424,0.1,0.025530083082622997
102900011006948,1584,0.46165845959595964,1.681,0.156,0.025321329265092465
102900011027615,21,0.4034285714285714,0.842,0.251,0.02403285714285714
102900005115762,10191,0.4955549013835737,2.584,0.078,0.023713772230880788
102900005115946,3656,0.41116356673960613,1.279,0.067,0.023158372691406182
102900011035962,19,0.5998947368421053,0.895,0.463,0.02164843274853802
102900005119975,12603,0.39379131952709673,1.616,0.1,0.02136041209096616
102900011032367,553,0.33002893309222425,1.268,0.111,0.02080869119034515
102900011033913,2,0.3075,0.408,0.207,0.020200499999999993
102900005125815,7457,0.3175742255598766,1.707,0.05,0.020045077409623357
102900011033586,5,0.2306,0.48,0.152,0.0197798
102900011034026,10768,0.4705081723625557,1.321,0.123,0.01946863260711722
102900011000175,247,0.36308906882591097,0.727,0.123,0.018908967644251345
102900005116219,1867,0.23529673272629886,1.375,0.046,0.01887771254558933
102900005115250,11347,0.24660421256719836,1.559,0.023,0.018684463557080755
102900011035511,576,0.5529097222222222,1.071,0.251,0.01857353270531403
102900011033982,589,0.48854499151103564,1.093,0.146,0.017395707581164856
102900005118824,3423,0.33025270230791703,1.512,0.05,0.01683799427600929
102900005119968,631,0.20364500792393028,1.074,0.013,0.01642227695519833
102900051004294,10568,0.20945429598788795,1.579,0.01,0.015600218219453265
102900011035771,412,0.35771844660194174,0.776,0.072,0.015362986228238028
102900005123880,662,0.3150589123867069,0.814,0.092,0.01518174992801349
102900011029176,453,0.2654503311258278,0.836,0.03,0.015130991443474195
102900011029275,7,0.25057142857142856,0.439,0.056,0.01498161904761905
102900011027479,641,0.2552886115444618,1.178,0.042,0.014761724385725419
102900011032343,903,0.3475171650055371,0.668,0.094,0.014595436234969426
102900011007969,352,0.2860511363636364,1.622,0.07,0.01429827088189588
102900011002414,177,0.25566101694915255,0.807,0.05,0.013936861710323583
102900005115977,391,0.2175140664961637,0.802,0.06,0.013888773519575045
102900011001219,858,0.31993473193473193,1.162,0.111,0.013409204603253616
102900005117209,849,0.3058174322732627,0.833,0.007,0.013112029129719758
102900005116943,4289,0.15290417346700863,1.817,0.009,0.012868708399089294
102900005119098,2156,0.24022773654916513,0.931,0.035,0.01261950866884194
102900005116639,282,0.30643262411347516,0.652,0.005,0.011826737437217625
102900005119944,2181,0.22798303530490602,1.101,0.011,0.01151251117995703
102900011029299,28,0.23782142857142857,0.535,0.076,0.011488152116402117
102900011032206,351,1.0056980056980056,3.0,1.0,0.011396011396011398
102900005125808,13274,0.10864750640349555,8.014,0.004,0.011240193752916563
102900011026618,27,0.38933333333333336,0.631,0.202,0.011155307692307695
102900011034231,5902,1.002372077261945,8.0,1.0,0.010839991682483124
102900005116912,1804,0.20619068736141907,0.923,0.022,0.010753281421823455
102900011032350,275,0.26608727272727273,0.769,0.1,0.010489751479761104
102900011008133,35,0.4064857142857143,0.858,0.26,0.010297786554621848
102900005116905,5,0.3634,0.496,0.256,0.009288799999999995
102900011035849,39,0.42405128205128206,0.772,0.314,0.00846283940620783
102900011034323,28,0.21460714285714286,0.561,0.04,0.008242025132275134
102900011011546,1251,1.0079936051159073,2.0,1.0,0.007936051159072756
102900005116547,11211,0.41670341628757473,2.912,0.063,0.00783134958600867
102900011034316,27,0.34744444444444444,0.587,0.235,0.007775487179487179
102900011026502,44,0.14363636363636365,0.364,0.03,0.007724236786469346
102900011029305,125,0.211208,0.404,0.025,0.0070504241290322575
102900011033937,851,0.4047426556991774,0.565,0.127,0.006723271343056614
102900011032589,98,0.2627551020408163,0.435,0.117,0.006698228066484328
102900011000861,247,0.11257085020242914,0.569,0.006,0.006633099634640066
102900005115199,1290,0.20830852713178297,1.998,0.003,0.006563572696820432
102900011022030,635,1.0062992125984251,2.0,1.0,0.006269405598748118
102900011030059,12261,1.0013865100725878,8.0,1.0,0.0059524004346464925
102900011013274,2788,1.002152080344333,4.0,1.0,0.005018689457457486
102900011032619,1726,0.22109617612977986,0.688,0.023,0.00492745161435504
102900011032626,62,0.3266612903225806,0.494,0.143,0.004872522739291377
102900005128748,9,0.164,0.256,0.064,0.00459825
106971533450003,1008,1.001984126984127,3.0,1.0,0.00396825396825397
102900011012994,1337,1.0022438294689604,3.0,1.0,0.003737476430833171
102900011021675,6,0.39799999999999996,0.496,0.344,0.003441200000000002
102900011021699,25,0.26408000000000004,0.346,0.101,0.003414743333333331
102900011034200,301,1.0033222591362125,2.0,1.0,0.0033222591362126255
102900011032732,1323,0.2330347694633409,0.49,0.105,0.003124968532983875
102900011007464,227,0.12920264317180616,0.315,0.03,0.003119604771743793
102900011008515,43,0.1957674418604651,0.341,0.122,0.0028076112956810636
102900011032480,11,0.13718181818181818,0.208,0.051,0.0026881636363636366
102900011007495,28,0.13525,0.236,0.003,0.002648416666666666
102900051009336,309,0.12395792880258899,0.463,0.02,0.002472404068423486
106949711300259,14402,1.0011803916122761,4.0,1.0,0.002428993357585673
102900051010790,152,0.17684868421052632,0.379,0.079,0.002319705428720811
102900011035078,2847,0.23897471022128555,1.0,0.031,0.002265116015156686
102900011033944,3507,0.25979669232962643,0.463,0.131,0.002220506001606112
102900011030103,496,1.002016129032258,2.0,1.0,0.0020161290322580684
102900011033999,12,0.4150833333333333,0.485,0.33,0.0020109924242424247
102900011009246,847,0.2504970484061393,0.393,0.129,0.00201051269813359
102900005118831,8346,1.0014378145219267,3.0,1.0,0.0019152481996089746
102900011011669,63,0.23346031746031745,0.332,0.142,0.0018509621095750125
102900011033234,571,1.001751313485114,2.0,1.0,0.001751313485113835
102900011031100,9892,1.0004043671653862,5.0,1.0,0.0016174686615446825
106930274620090,637,1.0015698587127158,2.0,1.0,0.001569858712715859
102900011033562,3,0.13966666666666666,0.182,0.106,0.0015003333333333331
102900011032633,129,0.2609147286821705,0.345,0.169,0.0013733286094961242
102900011032244,736,1.0013586956521738,2.0,1.0,0.0013586956521739128
102900011034330,3385,1.0011816838995569,2.0,1.0,0.001180636307447332
102900011032022,4252,1.0007055503292568,3.0,1.0,0.0011756959183750262
102900011032787,878,1.001138952164009,2.0,1.0,0.0011389521640091116
102900011012871,34,0.1663235294117647,0.243,0.122,0.0009707103386809268
102900011032640,34,0.21970588235294117,0.277,0.152,0.0009552442067736189
102900011007471,60,0.1087,0.167,0.056,0.0008245525423728816
102900011015384,28,0.12107142857142858,0.167,0.071,0.0007073280423280423
102900011010563,7,0.17357142857142857,0.212,0.14,0.0006346190476190473
106971533455008,1581,1.0006325110689438,2.0,1.0,0.0006325110689437066
102900011034224,3432,1.0005827505827505,2.0,1.0,0.0005825807341400459
102900011033968,40,0.21030000000000001,0.258,0.126,0.0005709846153846156
106958851400125,2137,1.0004679457182968,2.0,1.0,0.00046794571829667766
102900011030141,2176,1.0004595588235294,2.0,1.0,0.00045955882352941203
102900011033531,5,0.13640000000000002,0.162,0.116,0.0004328000000000002
106949711300167,2936,1.000340599455041,2.0,1.0,0.0003405994550408721
102900011030097,6810,1.0001468428781204,2.0,1.0,0.000146842878120411
102900011015391,2,0.47150000000000003,0.476,0.467,4.0499999999999324e-05
102900011011058,2,0.223,0.224,0.222,2.0000000000000037e-06
102900011001806,1062,1.0,1.0,1.0,0.0
102900011007044,242,1.0,1.0,1.0,0.0
102900005117353,22,1.0,1.0,1.0,0.0
102900005119104,99,1.0,1.0,1.0,0.0
102900011018095,978,1.0,1.0,1.0,0.0
102900011021644,8,1.0,1.0,1.0,0.0
102900011008577,3,1.0,1.0,1.0,0.0
102900011012482,66,1.0,1.0,1.0,0.0
102900011032220,186,1.0,1.0,1.0,0.0
102900011032237,2077,1.0,1.0,1.0,0.0
102900011032282,35,1.0,1.0,1.0,0.0
102900011032176,35,1.0,1.0,1.0,0.0
102900011030042,257,1.0,1.0,1.0,0.0
102900011026793,10,1.0,1.0,1.0,0.0
102900011030134,1473,1.0,1.0,1.0,0.0
102900011030110,4940,1.0,1.0,1.0,0.0
102900011030561,5,1.0,1.0,1.0,0.0
102900011030608,20,1.0,1.0,1.0,0.0
102900011030615,5,1.0,1.0,1.0,0.0
102900011030158,279,1.0,1.0,1.0,0.0
102900011030622,4,1.0,1.0,1.0,0.0
102900011030639,3,1.0,1.0,1.0,0.0
102900011030912,883,1.0,1.0,1.0,0.0
102900011030905,416,1.0,1.0,1.0,0.0
102900011030929,440,1.0,1.0,1.0,0.0
102900011031216,21,1.0,1.0,1.0,0.0
102900011031582,681,1.0,1.0,1.0,0.0
102900011031599,72,1.0,1.0,1.0,0.0
102900011033241,50,1.0,1.0,1.0,0.0
102900011032848,1619,1.0,1.0,1.0,0.0
102900011032213,531,1.0,1.0,1.0,0.0
102900011031735,17,1.0,1.0,1.0,0.0
102900011031841,8,1.0,1.0,1.0,0.0
102900011031926,949,1.0,1.0,1.0,0.0
102900011031759,13,1.0,1.0,1.0,0.0
102900011031742,5,1.0,1.0,1.0,0.0
102900011032114,10,1.0,1.0,1.0,0.0
102900011031995,394,1.0,1.0,1.0,0.0
102900011032251,7092,1.0,1.0,1.0,0.0
102900011035481,89,1.0,1.0,1.0,0.0
102900011034439,1139,1.0,1.0,1.0,0.0
102900011034262,87,1.0,1.0,1.0,0.0
102900011034538,3,1.0,1.0,1.0,0.0
102900011034217,251,1.0,1.0,1.0,0.0
102900011035740,255,1.0,1.0,1.0,0.0
102900011034569,24,1.0,1.0,1.0,0.0
102900011034705,3,1.0,1.0,1.0,0.0
102900011036242,40,1.0,1.0,1.0,0.0
102900011036068,8,1.0,1.0,1.0,0.0
102900011036686,16,1.0,1.0,1.0,0.0
102900011036266,3,1.0,1.0,1.0,0.0
102900011035788,369,1.0,1.0,1.0,0.0
106930274220092,400,1.0,1.0,1.0,0.0
106956146480197,245,1.0,1.0,1.0,0.0
106931885000035,7,1.0,1.0,1.0,0.0
106931885000356,2,1.0,1.0,1.0,0.0
106956146480203,95,1.0,1.0,1.0,0.0
106957634300058,78,1.0,1.0,1.0,0.0
106971563780002,8,1.0,1.0,1.0,0.0
106973990980123,78,1.0,1.0,1.0,0.0
102900011009772,1,0.415,0.415,0.415,
102900011023075,1,1.0,1.0,1.0,
102900011031858,1,1.0,1.0,1.0,
102900051000890,1,0.671,0.671,0.671,
106973223300667,1,1.0,1.0,1.0,
